state1,state2,state3,state4,state4,time
1,1,0,0,0,2021/11/20 4:48
2,1,0,0,0,2021/11/20 4:49
1,1,0,0,0,2021/11/20 4:50
2,1,0,0,0,2021/11/20 4:50
1,1,0,0,0,2021/11/20 4:50
2,1,0,0,0,2021/11/20 4:50
1,1,0,0,0,2021/11/20 4:51
2,1,0,0,0,2021/11/20 4:51
1,1,0,0,0,2021/11/20 4:51
2,1,0,0,0,2021/11/20 4:51
1,1,0,0,0,2021/11/20 4:52
2,1,0,0,0,2021/11/20 4:52
1,1,0,0,0,2021/11/20 4:53
2,1,0,0,0,2021/11/20 4:54
1,1,0,0,0,2021/11/20 4:55
2,1,0,0,0,2021/11/20 4:55
1,1,0,0,0,2021/11/20 4:56
2,1,0,0,0,2021/11/20 4:57
1,1,0,0,0,2021/11/20 4:57
2,1,0,0,0,2021/11/20 4:57
1,1,0,0,0,2021/11/20 4:57
2,1,0,0,0,2021/11/20 4:58
1,1,0,0,0,2021/11/20 4:58
2,1,0,0,0,2021/11/20 4:58
1,1,0,0,0,2021/11/20 4:59
2,1,0,0,0,2021/11/20 4:59
1,1,0,0,0,2021/11/20 5:00
2,1,0,0,0,2021/11/20 5:00
1,1,0,0,0,2021/11/20 5:01
2,1,0,0,0,2021/11/20 5:01
1,1,0,0,0,2021/11/20 5:02
2,1,0,0,0,2021/11/20 5:02
1,1,0,0,0,2021/11/20 5:02
2,1,0,0,0,2021/11/20 5:02
1,1,0,0,0,2021/11/20 5:03
2,1,0,0,0,2021/11/20 5:03
1,1,0,0,0,2021/11/20 5:03
2,1,0,0,0,2021/11/20 5:04
1,1,0,0,0,2021/11/20 5:04
2,1,0,0,0,2021/11/20 5:04
1,1,0,0,0,2021/11/20 5:05
2,1,0,0,0,2021/11/20 5:05
1,1,0,0,0,2021/11/20 5:05
2,1,0,0,0,2021/11/20 5:06
1,1,0,0,0,2021/11/20 5:06
2,1,0,0,0,2021/11/20 5:06
1,1,0,0,0,2021/11/20 5:08
2,1,0,0,0,2021/11/20 5:08
1,1,0,0,0,2021/11/20 5:09
2,1,0,0,0,2021/11/20 5:09
1,1,0,0,0,2021/11/20 5:09
2,1,0,0,0,2021/11/20 5:10
1,1,0,0,0,2021/11/20 5:10
2,1,0,0,0,2021/11/20 5:11
1,1,0,0,0,2021/11/20 5:11
2,1,0,0,0,2021/11/20 5:11
1,1,0,0,0,2021/11/20 5:12
2,1,0,0,0,2021/11/20 5:12
1,1,0,0,0,2021/11/20 5:13
2,1,0,0,0,2021/11/20 5:13
